trade_date,stock_id,foreign_buy_shares,foreign_sell_shares,trust_buy_shares,trust_sell_shares,dealer_buy_shares,dealer_sell_shares
2025-12-16,4772,236125000,473000000,0,0,30135000,99161000
2025-12-16,4903,2027000000,1114000000,0,0,5000000,5526000
2025-12-16,4907,5000000,4000000,0,0,0,0
2025-12-16,4908,49000000,125000000,0,0,2000000,7098000
2025-12-16,4909,893000000,1184000000,0,0,54163000,30400000
2025-12-16,4911,1000000,2000000,0,0,0,0
2025-12-16,4923,0,1000000,0,0,0,0
2025-12-16,4931,80000000,140000000,0,66000000,26000000,23809000
2025-12-16,4933,25000000,42000000,0,0,0,1000000
2025-12-16,4939,1579000000,2068000000,0,0,0,0
2025-12-16,4946,0,12000000,0,0,0,0
2025-12-16,4950,2000000,1000000,0,0,0,0
2025-12-16,4951,5000000,37000000,0,0,0,41000
2025-12-16,4953,123000000,134000000,0,2003000,5132000,2541000
2025-12-16,4966,245595000,436519000,124000000,66000000,11000000,22044000
2025-12-16,4971,5297204000,5909000000,15000000,0,244112000,347881000
2025-12-16,4972,0,1000000,0,0,0,0
2025-12-16,4973,122000000,239000000,0,0,0,0
2025-12-16,4974,23000000,64000000,0,0,1169000,9693000
2025-12-16,4979,6073270000,3712997000,0,2438000000,285101000,509389000
2025-12-16,4987,0,3000000,0,0,0,0
2025-12-16,4991,744000000,166005000,0,0,193000000,345000000
2025-12-16,4995,0,2000000,0,0,0,0
2025-12-16,5009,312000000,1305000000,0,0,48000000,115156000
2025-12-16,5014,7000000,3000000,0,0,1000000,500000
2025-12-16,5015,0,2000000,0,0,0,0
2025-12-16,5016,0,6000000,0,0,0,0
2025-12-16,5201,74000000,167000000,0,0,0,0
2025-12-16,5202,31000000,63000000,0,0,0,0
2025-12-16,5206,4000000,4000000,0,0,0,0
2025-12-16,5209,7000000,1000000,0,0,0,0
2025-12-16,5210,6000000,9000000,0,0,1000000,47000
2025-12-16,5213,187014000,35000000,0,0,0,0
2025-12-16,5220,0,1000000,0,0,0,0
2025-12-16,5223,0,2000000,0,0,0,0
2025-12-16,5227,20000000,15001000,0,0,0,613000
2025-12-16,5228,1000000,0,0,0,0,0
2025-12-16,5230,1000000,47000000,0,0,0,6000
2025-12-16,5236,6000000,72004000,0,0,2000000,7142000
